original name,prefix,title,primary,secondary,suffix,number,fuller form,dates, ,source
"Vincent, Bird J., 1880-1931",,,Vincent,Bird J.,,,,1880-1931,http://id.loc.gov/authorities/names/no2008059397,lcnaf
"Ehrenfest, Paul, 1880-1933.",,,Ehrenfest,Paul,,,,1880-1933,http://id.loc.gov/authorities/names/n83826301,lcnaf
"Chapin, Roy D. (Roy Dikeman), 1880-1936.",,,Chapin,Roy D.,,,Roy Dikeman,1880-1936,http://id.loc.gov/authorities/names/n86114210,lcnaf
"Lincoln, Burr, 1880-1937.",,,Lincoln,Burr,,,,1880-1937,,lcnaf
"Frost, Wade Hampton, 1880-1938.",,,Frost,Wade Hampton,,,,1880-1938,http://id.loc.gov/authorities/names/n88144675,lcnaf
"Goldenweiser, Alexander, 1880-1940.",,,Goldenweiser,Alexander,,,,1880-1940,http://id.loc.gov/authorities/names/n90674982,lcnaf
"Chapman, Charles E. (Charles Edward), 1880-1941.",,,Chapman,Charles E.,,,Charles Edward,1880-1941,http://id.loc.gov/authorities/names/n50036363,lcnaf
"Jones, Paul, 1880-1941.",,,Jones,Paul,,,,1880-1941,http://id.loc.gov/authorities/names/n90685771,lcnaf
"Knott, Thomas A. (Thomas Albert), 1880-1945.",,,Knott,Thomas A.,,,Thomas Albert,1880-1945,http://id.loc.gov/authorities/names/n81089991,lcnaf
"Hutchins, Harry Crocker, 1880-1948.",,,Hutchins,Harry Crocker,,,,1880-1948,,lcnaf
"Sundwall, John, 1880-1950.",,,Sundwall,John,,,,1880-1950,,lcnaf
"Bingham, Walter Van Dyke, 1880-1952.",,,Bingham,Walter Van Dyke,,,,1880-1952,http://id.loc.gov/authorities/names/n50034007,lcnaf
"Lasker, Albert Davis, 1880-1952.",,,Lasker,Albert Davis,,,,1880-1952,http://id.loc.gov/authorities/names/n84203502,lcnaf
"De Lamarter, Eric, 1880-1953.",,,De Lamarter,Eric,,,,1880-1953,http://id.loc.gov/authorities/names/no93011912,lcnaf
"Rice, Grantland, 1880-1954.",,,Rice,Grantland,,,,1880-1954,http://id.loc.gov/authorities/names/n92118372,lcnaf
"Powell, Thomas Reed, 1880-1955.",,,Powell,Thomas Reed,,,,1880-1955,http://id.loc.gov/authorities/names/n2001088550,lcnaf
"Rodeheaver, Homer A. (Homer Alvan), 1880-1955.",,,Rodeheaver,Homer A.,,,Homer Alvan,1880-1955,http://id.loc.gov/authorities/names/n85266308,lcnaf
"Aydelotte, Frank, 1880-1956.",,,Aydelotte,Frank,,,,1880-1956,http://id.loc.gov/authorities/names/n50029781,lcnaf
"Fairchild, Henry Pratt, 1880-1956.",,,Fairchild,Henry Pratt,,,,1880-1956,http://id.loc.gov/authorities/names/n87896896,lcnaf
"Mencken, H. L. (Henry Louis), 1880-1956.",,,Mencken,H. L.,,,Henry Louis,1880-1956,http://id.loc.gov/authorities/names/n80036702,lcnaf
"Robinson, David Moore, 1880-1958.",,,Robinson,David Moore,,,,1880-1958,http://id.loc.gov/authorities/names/n90663230,lcnaf
"Saint-Gaudens, Homer, 1880-1958",,,Saint-Gaudens,Homer,,,,1880-1958,http://id.loc.gov/authorities/names/n90652082,lcnaf
"Wilcox, Clarence Edward, 1880-1958.",,,Wilcox,Clarence Edward,,,,1880-1958,,lcnaf
"Ironside, Edmund, Sir, 1880-1959.",,Sir,Ironside,Edmund,,,,1880-1959,http://id.loc.gov/authorities/names/n50037664,lcnaf
"Colvin, David Leigh, 1880-1959.",,,Colvin,David Leigh,,,,1880-1959,,lcnaf
"Guerard, Albert Leon, 1880-1959.",,,Guerard,Albert Leon,,,,1880-1959,http://id.loc.gov/authorities/names/n50035580,lcnaf
"Marshall, George C. (George Catlett), 1880-1959.",,,Marshall,George C.,,,George Catlett,1880-1959,http://id.loc.gov/authorities/names/n79109883,lcnaf
"Quaife, Milo Milton, 1880-1959.",,,Quaife,Milo Milton,,,,1880-1959,http://id.loc.gov/authorities/names/n79093112,lcnaf
"Shaw, Wilfred B., 1880-1959.",,,Shaw,Wilfred B.,,,,1880-1959,,lcnaf
"Blakeman, Edward W. (Edward William), 1880-1963.",,,Blakeman,Edward W.,,,Edward William,1880-1963,http://id.loc.gov/authorities/names/no97053258,lcnaf
"Knutson, Harold, 1880-1963.",,,Knutson,Harold,,,,1880-1963,,lcnaf
"Schwimmer, Franciska, 1880-1963.",,,Schwimmer,Franciska,,,,1880-1963,,lcnaf
"MacArthur, Douglas, 1880-1964.",,,MacArthur,Douglas,,,,1880-1964,http://id.loc.gov/authorities/names/n79054196,lcnaf
"Price, Hereward Thimbleby, 1880-1964.",,,Price,Hereward Thimbleby,,,,1880-1964,http://id.loc.gov/authorities/names/n50027695,lcnaf
"Grew, Joseph C. (Joseph Clark), 1880-1965.",,,Grew,Joseph C.,,,Joseph Clark,1880-1965,http://id.loc.gov/authorities/names/n50031486,lcnaf
"Lasker, Bruno, 1880-1965.",,,Lasker,Bruno,,,,1880-1965,http://id.loc.gov/authorities/names/n50037729,lcnaf
"Perkins, Frances, 1880-1965.",,,Perkins,Frances,,,,1880-1965,http://id.loc.gov/authorities/names/n50012858,lcnaf
"Purcell, William Gray, 1880-1965.",,,Purcell,William Gray,,,,1880-1965,http://id.loc.gov/authorities/names/n82087712,lcnaf
"Clayton, Will, 1880-1966.",,,Clayton,Will,,,,1880-1966,http://id.loc.gov/authorities/names/n92085852,lcnaf
"Shuler, Robert Pierce, 1880-1966.",,,Shuler,Robert Pierce,,,,1880-1966,,lcnaf
"Smith, H. Alexander (Howard Alexander), 1880-1966.",,,Smith,H. Alexander,,,Howard Alexander,1880-1966,http://id.loc.gov/authorities/names/n85185913,lcnaf
"Lathrop, John Howland, 1880-1967.",,,Lathrop,John Howland,,,,1880-1967,,lcnaf
"Burke, Edward R. (Edward Raymond), 1880-1968",,,Burke,Edward R.,,,Edward Raymond,1880-1968,http://id.loc.gov/authorities/names/no2007034993,lcnaf
"Keller, Helen, 1880-1968.",,,Keller,Helen,,,,1880-1968,http://id.loc.gov/authorities/names/n83158974,lcnaf
"Lewis, John Llewellyn, 1880-1969.",,,Lewis,John Llewellyn,,,,1880-1969,http://id.loc.gov/authorities/names/n50049279,lcnaf
"Flanders, Ralph E. (Ralph Edward), 1880-1970.",,,Flanders,Ralph E.,,,Ralph Edward,1880-1970,http://id.loc.gov/authorities/names/n90705502,lcnaf
"Gipson, Lawrence Henry, 1880-1971",,,Gipson,Lawrence Henry,,,,1880-1971,http://id.loc.gov/authorities/names/n85031378,lcnaf
"Holtwick, Enoch A., 1880?-1972.",,,Holtwick,Enoch A.,,,,1880-1972,,lcnaf
"Sellars, Roy Wood, 1880-1973",,,Sellars,Roy Wood,,,,1880-1973,http://id.loc.gov/authorities/names/n50006525,lcnaf
"Brundage, Ray O., 1881-",,,Brundage,Ray O.,,,,1881-,,lcnaf
"Cochrane, Donald F., 1881-",,,Cochrane,Donald F.,,,,1881-,,lcnaf
"Cole, Fay-Cooper, b. 1881.",,,Cole,Fay-Cooper,,,,1881-,,lcnaf
"Emery, John Garfield, 1881-",,,Emery,John Garfield,,,,1881-,,lcnaf
"Flynn, Felix H. H., 1881-",,,Flynn,Felix H. H.,,,,1881-,,lcnaf
"French, Edna Cumming, 1881-",,,French,Edna Cumming,,,,1881-,,lcnaf
"Fry, Theodore I., 1881-",,,Fry,Theodore I.,,,,1881-,,lcnaf
"Huckle, Thomas O., 1881-",,,Huckle,Thomas O.,,,,1881-,,lcnaf
"Huston, Roscoe Burhans, 1881-",,,Huston,Roscoe Burhans,,,,1881-,,lcnaf
"MacDonald, Thomas H. (Thomas Harris), b. 1881.",,,MacDonald,Thomas H.,,,Thomas Harris,1881-,,lcnaf
"Read, Thomas, 1881-",,,Read,Thomas,,,,1881-,,lcnaf
"Reed, Thomas Harrison, b. 1881.",,,Reed,Thomas Harrison,,,,1881-,,lcnaf
"Rinsey, George, 1881-",,,Rinsey,George,,,,1881-,,lcnaf
"Royce, Frank, 1881-",,,Royce,Frank,,,,1881-,,lcnaf
"Shipler, Guy Emery, 1881-",,,Shipler,Guy Emery,,,,1881-,,lcnaf
"Eastman, Crystal, 1881-1928.",,,Eastman,Crystal,,,,1881-1928,http://id.loc.gov/authorities/names/n91032403,lcnaf
"Turner, Edward Raymond, 1881-1929.",,,Turner,Edward Raymond,,,,1881-1929,http://id.loc.gov/authorities/names/n88601466,lcnaf
"Zweig, Stefan, 1881-1942.",,,Zweig,Stefan,,,,1881-1942,http://id.loc.gov/authorities/names/n79138567,lcnaf
"Hoffius, Cornelius, 1881-1943.",,,Hoffius,Cornelius,,,,1881-1943,,lcnaf
"Allen, Rolland Craten, 1881-1948.",,,Allen,Rolland Craten,,,,1881-1948,http://id.loc.gov/authorities/names/no2008188990,lcnaf
"Espie, John P., 1881-1949.",,,Espie,John P.,,,,1881-1949,,lcnaf
"Dana, Henry Wadsworth Longfellow, 1881-1950.",,,Dana,Henry Wadsworth Longfellow,,,,1881-1950,http://id.loc.gov/authorities/names/n97858148,lcnaf
"Bernard, L. L. (Luther Lee), 1881-1951.",,,Bernard,L. L.,,,Luther Lee,1881-1951,http://id.loc.gov/authorities/names/n79091510,lcnaf
"Erwin, Henry Parsons, 1881-1953.",,,Erwin,Henry Parsons,,,,1881-1953,,lcnaf
"Randall, J. G. (James Garfield), 1881-1953.",,,Randall,J. G.,,,James Garfield,1881-1953,http://id.loc.gov/authorities/names/n80112814,lcnaf
"Hays, Arthur Garfield, 1881-1954.",,,Hays,Arthur Garfield,,,,1881-1954,http://id.loc.gov/authorities/names/n82013438,lcnaf
"Johnson, Allan Chester, 1881-1955.",,,Johnson,Allan Chester,,,,1881-1955,http://id.loc.gov/authorities/names/nr93026685,lcnaf
"Warner, Langdon, 1881-1955.",,,Warner,Langdon,,,,1881-1955,http://id.loc.gov/authorities/names/n91005171,lcnaf
"Winter, John Garrett, 1881-1956.",,,Winter,John Garrett,,,,1881-1956,http://id.loc.gov/authorities/names/n89622786,lcnaf
"Burns, Kevin, 1881-1958.",,,Burns,Kevin,,,,1881-1958,http://id.loc.gov/authorities/names/no2009004754,lcnaf
"Long, Breckinridge, 1881-1958.",,,Long,Breckinridge,,,,1881-1958,http://id.loc.gov/authorities/names/n86071919,lcnaf
"DeMille, Cecil B. (Cecil Blount), 1881-1959.",,,DeMille,Cecil B.,,,Cecil Blount,1881-1959,http://id.loc.gov/authorities/names/n80073529,lcnaf
"Guest, Edgar A. (Edgar Albert), 1881-1959.",,,Guest,Edgar A.,,,Edgar Albert,1881-1959,http://id.loc.gov/authorities/names/n86137853,lcnaf
"Shaw, Wilfred Byron, 1881-1959.",,,Shaw,Wilfred Byron,,,,1881-1959,,lcnaf
"Sweet, William Warren, 1881-1959.",,,Sweet,William Warren,,,,1881-1959,http://id.loc.gov/authorities/names/n82091865,lcnaf
"Boyles, Emerson R., 1881-1960.",,,Boyles,Emerson R.,,,,1881-1960,,lcnaf
"Malcolm, George A. (George Arthur), 1881-1961.",,,Malcolm,George A.,,,George Arthur,1881-1961,http://id.loc.gov/authorities/names/n92120793,lcnaf
"Malcolm, George Arthur, 1881-1961.",,,Malcolm,George Arthur,,,,1881-1961,http://id.loc.gov/authorities/names/n92120793,lcnaf
"Shull, Aaron Franklin, 1881-1961.",,,Shull,Aaron Franklin,,,,1881-1961,,lcnaf
"Hart, Merwin Kimball, 1881-1962.",,,Hart,Merwin Kimball,,,,1881-1962,http://id.loc.gov/authorities/names/n88172297,lcnaf
"Rickey, Branch, 1881-1965.",,,Rickey,Branch,,,,1881-1965,http://id.loc.gov/authorities/names/n81149658,lcnaf
"Shepard, John Frederick, 1881-1965.",,,Shepard,John Frederick,,,,1881-1965,,lcnaf
"Standinger, Hermann, 1881-1965.",,,Standinger,Hermann,,,,1881-1965,,lcnaf
"Faulkner, Barry, 1881-1966.",,,Faulkner,Barry,,,,1881-1966,http://id.loc.gov/authorities/names/n93122929,lcnaf
"Hunt, Roy Arthur, 1881-1966.",,,Hunt,Roy Arthur,,,,1881-1966,http://id.loc.gov/authorities/names/n93017929,lcnaf
"Sorensen, Charles E., 1881-1968.",,,Sorensen,Charles E.,,,,1881-1968,http://id.loc.gov/authorities/names/n2005075179,lcnaf
"O'Neill, James Milton, 1881-1970.",,,O'Neill,James Milton,,,,1881-1970,http://id.loc.gov/authorities/names/no98067736,lcnaf
"Chinard, Gilbert, 1881-1972.",,,Chinard,Gilbert,,,,1881-1972,,lcnaf
"Yost, Eunice Josephine Fite, 1881-1975.",,,Yost,Eunice Josephine Fite,,,,1881-1975,,lcnaf
"Allen, Hugh Pitzer, 1882-",,,Allen,Hugh Pitzer,,,,1882-,,lcnaf
"Crowley, David Henry, 1882-",,,Crowley,David Henry,,,,1882-,,lcnaf
"Durfee, Edgar N. (Edgar Noble), 1882-",,,Durfee,Edgar N.,,,Edgar Noble,1882-,http://id.loc.gov/authorities/names/no99009058,lcnaf
"Jayne, Ira Waite, 1882-",,,Jayne,Ira Waite,,,,1882-,,lcnaf
"Larue, George R. (George Roger), b. 1882.",,,Larue,George R.,,,George Roger,1882-,,lcnaf
"Ruthven, Alexander Grant, 1882-",,,Ruthven,Alexander Grant,,,,1882-,,lcnaf
"Spaulding, Thomas M. (Thomas Marshall), b. 1882.",,,Spaulding,Thomas M.,,,Thomas Marshall,1882-,,lcnaf
"Tomlinson, Owen A., 1882-",,,Tomlinson,Owen A.,,,,1882-,,lcnaf
"Waite, John Barker, 1882-",,,Waite,John Barker,,,,1882-,,lcnaf
"Hopwood, Avery, 1882-1928.",,,Hopwood,Avery,,,,1882-1928,http://id.loc.gov/authorities/names/n79125874,lcnaf
"Oppenheim, James, 1882-1932.",,,Oppenheim,James,,,,1882-1932,http://id.loc.gov/authorities/names/n87914483,lcnaf
"Champion, Edouard, 1882-1938.",,,Champion,Edouard,,,,1882-1938,http://id.loc.gov/authorities/names/n85327696,lcnaf
"Bolton, Chester Castle, 1882-1939.",,,Bolton,Chester Castle,,,,1882-1939,http://id.loc.gov/authorities/names/n88212031,lcnaf
"Woolf, Virginia, 1882-1941.",,,Woolf,Virginia,,,,1882-1941,http://id.loc.gov/authorities/names/n79041870,lcnaf
"Johnson, Hugh S. (Hugh Samuel), 1882-1942.",,,Johnson,Hugh S.,,,Hugh Samuel,1882-1942,http://id.loc.gov/authorities/names/n85092186,lcnaf
"Mooney, Thomas J., 1882-1942.",,,Mooney,Thomas J.,,,,1882-1942,http://id.loc.gov/authorities/names/n50004192,lcnaf
"Van Loon, Hendrik Willem, 1882-1944.",,,Van Loon,Hendrik Willem,,,,1882-1944,http://id.loc.gov/authorities/names/n50046677,lcnaf
"Roosevelt, Franklin D. (Franklin Delano), 1882-1945.",,,Roosevelt,Franklin D.,,,Franklin Delano,1882-1945,http://id.loc.gov/authorities/names/n79022932,lcnaf
"La Guardia, Fiorello H. (Fiorello Henry), 1882-1947.",,,La Guardia,Fiorello H.,,,Fiorello Henry,1882-1947,http://id.loc.gov/authorities/names/n50041744,lcnaf
"Holmes, Roy Hinman, 1882-1949.",,,Holmes,Roy Hinman,,,,1882-1949,,lcnaf
"Malone, Dudley Field, 1882-1950.",,,Malone,Dudley Field,,,,1882-1950,,lcnaf
"Vandenberg, Hazel Whittaker, 1882-1950.",,,Vandenberg,Hazel Whittaker,,,,1882-1950,,lcnaf
"McClure, Roy Donaldson, 1882-1951.",,,McClure,Roy Donaldson,,,,1882-1951,,lcnaf
"Durfee, Edgar Noble, 1882-1952.",,,Durfee,Edgar Noble,,,,1882-1952,,lcnaf
"Scripps, William Edmund, 1882-1952.",,,Scripps,William Edmund,,,,1882-1952,http://id.loc.gov/authorities/names/no2009004739,lcnaf
"Buchanan, Ruth B., 1882-1953.",,,Buchanan,Ruth B.,,,,1882-1953,,lcnaf
"Edmonson, James Bartlett, 1882-1954.",,,Edmonson,James Bartlett,,,,1882-1954,,lcnaf
"Close, Edward Bennett, 1882-1955.",,,Close,Edward Bennett,,,,1882-1955,,lcnaf
"Lewisohn, Ludwig, 1882-1955.",,,Lewisohn,Ludwig,,,,1882-1955,http://id.loc.gov/authorities/names/n50049893,lcnaf
"Foote, Mark, 1882-1957.",,,Foote,Mark,,,,1882-1957,,lcnaf
"Todd, Laurence, 1882-1957.",,,Todd,Laurence,,,,1882-1957,http://id.loc.gov/authorities/names/n98075026,lcnaf
"Mooney, Edward, Archbishop, 1882-1958",,,Mooney,Edward,Archbishop,,,1882-1958,,lcnaf
"Durfee, Edgar, 1882-1958.",,,Durfee,Edgar,,,,1882-1958,,lcnaf
"Stocking, Charles Howard, 1882-1958.",,,Stocking,Charles Howard,,,,1882-1958,http://id.loc.gov/authorities/names/no2005038608,lcnaf
"Swope, Herbert Bayard, 1882-1958.",,,Swope,Herbert Bayard,,,,1882-1958,http://id.loc.gov/authorities/names/n83194987,lcnaf
"Woodbridge, Homer E. (Homer Edwards), 1882-1958",,,Woodbridge,Homer E.,,,Homer Edwards,1882-1958,http://id.loc.gov/authorities/names/no2003125672,lcnaf
"Knapp, Burton Samuel, 1882-1959.",,,Knapp,Burton Samuel,,,,1882-1959,,lcnaf
"Sanford, Arthur Hawley, 1882-1959",,,Sanford,Arthur Hawley,,,,1882-1959,http://id.loc.gov/authorities/names/n79054294,lcnaf
"Currie, Gilbert, 1882-1960.",,,Currie,Gilbert,,,,1882-1960,,lcnaf
"Rankin, John Elliott, 1882-1960.",,,Rankin,John Elliott,,,,1882-1960,http://id.loc.gov/authorities/names/n99043061,lcnaf
"Travis, DeHull N., 1882-1960.",,,Travis,DeHull N.,,,,1882-1960,,lcnaf
"Adams, George Plimpton, 1882-1961.",,,Adams,George Plimpton,,,,1882-1961,http://id.loc.gov/authorities/names/n82253251,lcnaf
"Bridgman, P. W. (Percy Williams), 1882-1961.",,,Bridgman,P. W.,,,Percy Williams,1882-1961,http://id.loc.gov/authorities/names/n79132028,lcnaf
"Grainger, Percy, 1882-1961.",,,Grainger,Percy,,,,1882-1961,http://id.loc.gov/authorities/names/n79124007,lcnaf
"Rayburn, Sam, 1882-1961.",,,Rayburn,Sam,,,,1882-1961,http://id.loc.gov/authorities/names/n83063388,lcnaf
"Clancy, Robert Henry, 1882-1962.",,,Clancy,Robert Henry,,,,1882-1962,http://id.loc.gov/authorities/names/no2008190246,lcnaf
"Craig, Robert, 1882-1962.",,,Craig,Robert,,,,1882-1962,,lcnaf
"Franck, James, 1882-1964.",,,Franck,James,,,,1882-1964,http://id.loc.gov/authorities/names/n83146477,lcnaf
"Hagedorn, Hermann, 1882-1964.",,,Hagedorn,Hermann,,,,1882-1964,http://id.loc.gov/authorities/names/n78093734,lcnaf
"Hayes, Carlton Joseph Huntley, 1882-1964.",,,Hayes,Carlton Joseph Huntley,,,,1882-1964,http://id.loc.gov/authorities/names/n50025136,lcnaf
"O'Neill, Charles, 1882-1964.",,,O'Neill,Charles,,,,1882-1964,http://id.loc.gov/authorities/names/no94004073,lcnaf
"Rumely, Edward A. (Edward Aloysius), 1882-1964",,,Rumely,Edward A.,,,Edward Aloysius,1882-1964,http://id.loc.gov/authorities/names/n85812373,lcnaf
"Frankfurter, Felix, 1882-1965.",,,Frankfurter,Felix,,,,1882-1965,http://id.loc.gov/authorities/names/n50025733,lcnaf
"Perkins, Frances, 1882-1965.",,,Perkins,Frances,,,,1882-1965,,lcnaf
"Thorndike, Lynn, 1882-1965.",,,Thorndike,Lynn,,,,1882-1965,http://id.loc.gov/authorities/names/n50012691,lcnaf
"Krumbhaar, E. B. (Edward Bell), 1882-1966",,,Krumbhaar,E. B.,,,Edward Bell,1882-1966,http://id.loc.gov/authorities/names/n83825912,lcnaf
"Farrar, Geraldine, 1882-1967.",,,Farrar,Geraldine,,,,1882-1967,http://id.loc.gov/authorities/names/n81090616,lcnaf
"Lemon, William Philip, 1882-1967.",,,Lemon,William Philip,,,,1882-1967,,lcnaf
"O'Hara, Geoffrey, 1882-1967",,,O'Hara,Geoffrey,,,,1882-1967,http://id.loc.gov/authorities/names/n82063874,lcnaf
"Smith, Holland M. (Holland McTyeire), 1882-1967.",,,Smith,Holland M.,,,Holland McTyeire,1882-1967,http://id.loc.gov/authorities/names/n85170263,lcnaf
"Waite, John Barker, 1882-1967",,,Waite,John Barker,,,,1882-1967,http://id.loc.gov/authorities/names/n50021368,lcnaf
"Hardman, J. B. S. (Jacob Benjamin Salutsky), 1882-1968.",,,Hardman,J. B. S.,,,Jacob Benjamin Salutsky,1882-1968,http://id.loc.gov/authorities/names/n50020605,lcnaf
"Bowie, Walter Russell, 1882-1969.",,,Bowie,Walter Russell,,,,1882-1969,http://id.loc.gov/authorities/names/n82084158,lcnaf
"Parmelee, Maurice, 1882-1969.",,,Parmelee,Maurice,,,,1882-1969,http://id.loc.gov/authorities/names/n82009775,lcnaf
"Born, Max, 1882-1970.",,,Born,Max,,,,1882-1970,http://id.loc.gov/authorities/names/n50050350,lcnaf
"MacIver, Robert M. (Robert Morrison), 1882-1970.",,,MacIver,Robert M.,,,Robert Morrison,1882-1970,http://id.loc.gov/authorities/names/n50047935,lcnaf
"Raab, Ethel, 1882-1971.",,,Raab,Ethel,,,,1882-1971,,lcnaf
"Ruthven, Alexander Grant, 1882-1971.",,,Ruthven,Alexander Grant,,,,1882-1971,http://id.loc.gov/authorities/names/n87828171,lcnaf
"Stravinsky, Igor, 1882-1971.",,,Stravinsky,Igor,,,,1882-1971,http://id.loc.gov/authorities/names/n79070061,lcnaf
"Byrnes, James F. (James Francis), 1882-1972.",,,Byrnes,James F.,,,James Francis,1882-1972,http://id.loc.gov/authorities/names/n80167019,lcnaf
"Spaulding, Thomas M. (Thomas Marshall), 1882-1973.",,,Spaulding,Thomas M.,,,Thomas Marshall,1882-1973,,lcnaf
"St. Laurent, Louis S. (Louis Stephen), 1882-1973.",,,St. Laurent,Louis S.,,,Louis Stephen,1882-1973,http://id.loc.gov/authorities/names/n82257393,lcnaf
"Kallen, Horace Meyer, 1882-1974.",,,Kallen,Horace Meyer,,,,1882-1974,http://id.loc.gov/authorities/names/n80023585,lcnaf
"De Valera, Eamonn, 1882-1975.",,,De Valera,Eamonn,,,,1882-1975,http://id.loc.gov/authorities/names/n80082592,lcnaf
"Isaacs, Bernard, 1882-1975.",,,Isaacs,Bernard,,,,1882-1975,http://id.loc.gov/authorities/names/no93000184,lcnaf
"Spencer, Anne, 1882-1975.",,,Spencer,Anne,,,,1882-1975,http://id.loc.gov/authorities/names/no98076986,lcnaf
"Wheeler, Burton K. (Burton Kendall), 1882-1975.",,,Wheeler,Burton K.,,,Burton Kendall,1882-1975,http://id.loc.gov/authorities/names/n87890337,lcnaf
"Stokowski, Leopold, 1882-1977.",,,Stokowski,Leopold,,,,1882-1977,http://id.loc.gov/authorities/names/n80050012,lcnaf
"Allen, Shirley Walter, 1883-",,,Allen,Shirley Walter,,,,1883-,,lcnaf
"Ballantine, Arthur A. (Arthur Atwood), b. 1883.",,,Ballantine,Arthur A.,,,Arthur Atwood,1883-,,lcnaf
"Baxter, Kenneth Stewart, 1883-",,,Baxter,Kenneth Stewart,,,,1883-,,lcnaf
"Bose, Sudhindra, 1883-",,,Bose,Sudhindra,,,,1883-,,lcnaf
"Butterfield, George Ernest, 1883-",,,Butterfield,George Ernest,,,,1883-,,lcnaf
"Cammerer, Arno B. (Arno Berthold), b. 1883.",,,Cammerer,Arno B.,,,Arno Berthold,1883-,,lcnaf
"Early, Willa R. (Willa Rhodes), 1883-",,,Early,Willa R.,,,Willa Rhodes,1883-,,lcnaf
"Eaton, Cyrus Stephen, 1883-",,,Eaton,Cyrus Stephen,,,,1883-,,lcnaf
"Johnson, Thomas Edward, 1883-",,,Johnson,Thomas Edward,,,,1883-,,lcnaf
"Keniston, Hayward, b. 1883.",,,Keniston,Hayward,,,,1883-,,lcnaf
"McKay, Frank D., 1883-",,,McKay,Frank D.,,,,1883-,,lcnaf
"Oppenheimer, William Henry, 1883-",,,Oppenheimer,William Henry,,,,1883-,,lcnaf
"Panzner, John, 1883-",,,Panzner,John,,,,1883-,,lcnaf
"Smith, John W., 1883-",,,Smith,John W.,,,,1883-,,lcnaf
"Uspensky, J. V. (James Victor), b. 1883.",,,Uspensky,J. V.,,,James Victor,1883-,http://id.loc.gov/authorities/names/n86864668,lcnaf
"Thomason, Samuel Emory, 1883-1944.",,,Thomason,Samuel Emory,,,,1883-1944,,lcnaf
"Mussolini, Benito, 1883-1945.",,,Mussolini,Benito,,,,1883-1945,http://id.loc.gov/authorities/names/n78095482,lcnaf
"Keynes, John Maynard, 1883-1946.",,,Keynes,John Maynard,,,,1883-1946,http://id.loc.gov/authorities/names/n79004113,lcnaf
"Schumpeter, Joseph Alois, 1883-1950.",,,Schumpeter,Joseph Alois,,,,1883-1950,http://id.loc.gov/authorities/names/n50003171,lcnaf
"Day, Edmund Ezra, 1883-1951.",,,Day,Edmund Ezra,,,,1883-1951,http://id.loc.gov/authorities/names/no96040605,lcnaf
"Thomas, Elbert Duncan, 1883-1953.",,,Thomas,Elbert Duncan,,,,1883-1953,http://id.loc.gov/authorities/names/n85059791,lcnaf
"Wainwright, Jonathan Mayhew, 1883-1953.",,,Wainwright,Jonathan Mayhew,,,,1883-1953,http://id.loc.gov/authorities/names/n81050307,lcnaf
"Chase, Harry Woodburn, 1883-1955.",,,Chase,Harry Woodburn,,,,1883-1955,http://id.loc.gov/authorities/names/n91052111,lcnaf
"Millspaugh, Arthur Chester, 1883-1955.",,,Millspaugh,Arthur Chester,,,,1883-1955,http://id.loc.gov/authorities/names/n50033258,lcnaf
"Claybourn, Leslie W. (Leslie William), 1883-1956.",,,Claybourn,Leslie W.,,,Leslie William,1883-1956,,lcnaf
"Newburgh, Louis Harry, 1883-1956.",,,Newburgh,Louis Harry,,,,1883-1956,http://id.loc.gov/authorities/names/no97056817,lcnaf
"Treanor, Arthur Ryan, 1883-1956.",,,Treanor,Arthur Ryan,,,,1883-1956,,lcnaf
"Graham, Evarts A. (Evarts Ambrose), 1883-1957",,,Graham,Evarts A.,,,Evarts Ambrose,1883-1957,http://id.loc.gov/authorities/names/n88044809,lcnaf
"Donovan, William J. (William Joseph), 1883-1959.",,,Donovan,William J.,,,William Joseph,1883-1959,http://id.loc.gov/authorities/names/n81096091,lcnaf
"Young, Leigh Jarvis, 1883-1960.",,,Young,Leigh Jarvis,,,,1883-1960,,lcnaf
"Davison, Archibald T. (Archibald Thompson), 1883-1961",,,Davison,Archibald T.,,,Archibald Thompson,1883-1961,http://id.loc.gov/authorities/names/n85064882,lcnaf
"Malko, Nicolai, 1883-1961.",,,Malko,Nicolai,,,,1883-1961,http://id.loc.gov/authorities/names/n81003304,lcnaf
"Hurley, Patrick J. (Patrick Jay), 1883-1963.",,,Hurley,Patrick J.,,,Patrick Jay,1883-1963,http://id.loc.gov/authorities/names/n86081381,lcnaf
"Flynn, John Thomas, 1883-1964.",,,Flynn,John Thomas,,,,1883-1964,,lcnaf
"Howard, Roy Wilson, 1883-1964.",,,Howard,Roy Wilson,,,,1883-1964,http://id.loc.gov/authorities/names/n86070559,lcnaf
"Price, Lucien, 1883-1964.",,,Price,Lucien,,,,1883-1964,http://id.loc.gov/authorities/names/nr88003214,lcnaf
"Bell, Laird, 1883-1965.",,,Bell,Laird,,,,1883-1965,,lcnaf
"Howell, Chester M., 1883-1965.",,,Howell,Chester M.,,,,1883-1965,,lcnaf
"McKay, Frank D., 1883-1965.",,,McKay,Frank D.,,,,1883-1965,,lcnaf
"McKay, Frank, 1883-1965.",,,McKay,Frank,,,,1883-1965,,lcnaf
"Hornbeck, Stanley Kuhl, 1883-1966.",,,Hornbeck,Stanley Kuhl,,,,1883-1966,http://id.loc.gov/authorities/names/n81081857,lcnaf
"Dodero, George Anthony, 1883-1968.",,,Dodero,George Anthony,,,,1883-1968,,lcnaf
